num_points,std,avg_median_dev,width,linearity,circularity,radius,boundary_length,boundary_regularity,mean_curvature,ang_diff,iav,std_iav,distance,dist_num_points,occluded_right,occluded_left,label
4,0.0140399,0.0104995,0.0332584,0.000328619,0.000144265,0,0.0358085,0.00638737,38.4496,1.58474,1.54606,1.80698,1.00008,0.25002,1,1,1
18,0.038722,0.0334615,0.120711,0.0246878,0.000876758,0,0.201478,0.00559406,72.4287,2.67921,3.47652,1.28942,0.793624,0.0440902,1,1,1
14,0.0394659,0.0343141,0.107173,inf,0.000778235,0,0.186545,0.00719513,64.6909,2.61579,3.58,1.60291,0.885415,0.0632439,1,1,1
17,0.0365303,0.0312632,0.113362,0.025832,0.000281355,0,0.157108,0.003509,72.9379,2.66758,3.48148,1.31975,0.789446,0.046438,1,1,1
16,0.041019,0.0359284,0.121596,0.0232837,0.00186525,0,0.167912,0.00410939,55.8582,2.75367,2.92661,1.27918,0.890935,0.0556835,1,1,1
18,0.0391864,0.0343874,0.120863,0.024745,0.000690815,0,0.20074,0.00560457,68.1643,2.8158,3.22205,1.27545,0.789242,0.0438468,1,1,1
14,0.0358327,0.0306687,0.104776,inf,0.00335538,0,0.155699,0.00570596,59.7142,2.57745,2.91862,1.36329,0.906239,0.0647313,1,1,1
22,0.0478868,0.0403004,0.156101,0.0462195,0.000834963,0,0.25566,0.00836187,70.2825,2.80061,3.78325,1.24537,0.766813,0.0348551,1,1,1
16,0.0401403,0.0339265,0.122476,0.0228314,0.00083834,0,0.160452,0.00407227,49.0866,2.68471,3.25318,1.33382,0.919565,0.0574728,1,1,1
28,0.0545076,0.0465649,0.180857,0.073422,0.00190757,0,0.249801,0.00315214,76.499,2.85517,3.29102,0.963679,0.746979,0.0266778,1,1,1
6,0.0166133,0.0143701,0.0401207,inf,0.000171658,0,0.0672029,0.00626684,54.3303,1.82132,2.69605,2.14661,0.913274,0.152212,1,1,1
23,0.0484257,0.041907,0.15308,0.0499844,0.00103725,0,0.212781,0.00492459,66.4141,2.83354,3.34302,1.08639,0.683312,0.0297092,1,1,1
31,0.243596,0.206156,0.814921,1.65027,0.00334969,0,0.830868,0.0101046,10.3283,2.94149,2.94121,0.786785,1.93,0.0622581,1,1,1
28,0.104891,0.100965,0.294745,0.280648,0.0109446,0,0.402935,0.0168705,45.6767,2.89643,3.06383,0.971655,0.910657,0.0325235,1,1,1
12,0.0474167,0.0399643,0.130662,0.0247276,0.000519869,0,0.195527,0.0102114,23.1203,2.42448,3.8568,1.81455,1.14766,0.0956387,1,1,1
12,0.0307918,0.0267473,0.0900831,0.00924386,0.000249426,0,0.116825,0.00362878,57.9232,2.55288,3.20709,1.52229,0.916613,0.0763844,1,1,1
11,0.0407952,0.0336642,0.119499,3.42931,0.000464403,0,0.151631,0.00629866,41.3724,2.48313,3.11164,1.57865,1.35,0.122727,1,1,1
14,0.038924,0.0336836,0.116778,0.0188185,0.000687186,0,0.195026,0.00788448,56.6234,2.78508,3.01702,1.43781,0.930973,0.0664981,1,0,1
10,0.0400759,0.034124,0.115078,4.01223,0.000406042,0,0.146274,0.00584075,27.2625,2.52095,2.90441,1.58611,1.39461,0.139461,1,1,1
15,0.0404668,0.0343554,0.122119,0.0215522,0.000740965,0,0.201893,0.00604271,63.7279,2.61172,3.53562,1.45076,0.972242,0.0648161,1,1,1
10,0.0425271,0.0357859,0.119925,4.01287,0.000435415,0,0.155196,0.00649855,33.7516,2.38547,3.09061,1.65278,1.42184,0.142184,1,1,1
11,0.0568487,0.0412382,0.145039,3.51449,0.000648743,0,0.238911,0.0305141,38.5395,2.35875,3.90973,1.97767,1.00657,0.0915067,1,1,1
19,0.120826,0.11262,0.327574,0.233625,0.0169653,0,0.406858,0.0259722,30.2637,2.73092,3.3179,1.23759,1.34646,0.0708665,1,1,1
8,0.0329939,0.0268054,0.0907897,inf,8.45091e-05,0,0.11259,0.00665359,23.6079,2.15267,3.08261,1.90717,1.43134,0.178917,1,1,1
9,0.0411002,0.0343058,0.113168,0.0127129,0.000991825,0,0.182172,0.0120355,39.3237,2.31303,3.13791,1.82804,1.59528,0.177253,1,1,1
